ip name
179.0.1.1 LOND
179.0.1.2 BARC
179.0.2.1 BARC
179.0.2.2 MIAM
179.0.3.1 COTT
179.0.3.2 BARC
179.0.4.1 COTT
179.0.4.2 NEWY
179.0.5.1 COTT
179.0.5.2 MIAM
179.0.6.1 LOND
179.0.6.2 MIAM
179.0.7.1 NEWY
179.0.7.2 BARC
179.0.8.1 NEWY
179.0.8.2 NEWY
179.0.9.1 NEWY
179.0.9.2 MIAM
179.0.10.1 SANF
179.0.10.2 BARC
179.0.11.1 NEWY
179.0.11.2 COTT
179.0.12.1 SANF
179.0.12.2 COTT
179.0.13.1 SANF
179.0.13.2 SANF
179.0.14.1 SANF
179.0.14.2 LOND
179.0.15.1 MIAM
179.0.15.2 LOND
179.0.16.1 MIAM
179.0.16.2 COTT
179.0.17.1 ACCR
179.0.17.2 LOND
179.0.18.1 SAOP
179.0.18.2 COTT
179.0.19.1 SAOP
179.0.19.2 SANF
179.0.20.1 SAOP
179.0.20.2 LOND
